kestävä elämäntapa;sustainable living
kestävä kehitys;sustainable development
kestävyys;sustainability
ylläpitää;to sustain
kierrättäminen;recycling
hiilijalanjälki;carbon footprint
uusiutuvat energianlähteet;renewable energy sources
kestävä kulutus;sustainable consumption
päästökompensaatio;carbon offset
eettiset arvot;ethical values
kulutusmyönteisyys;consumerism
jätteettömyys;zero waste
uudelleen käytettävä;reusable
kertakäyttöinen;disposable
kestävät materiaalit;durable materials
eläimillä testaamattomat tuotteet;cruelty-free products
innovatiiviset ratkaisut;innovative solutions
ylikulutus;over-consumption
säästää sähköä;to save electricity
laittaa valot pois päältä;to turn off the lights
kompostoida;to compost
kierrättää;to recycle
käyttää uudelleen;to reuse
käytetyt vaatteet;second-hand clothes
kuluttaa;to consume
energiatehokkuus;energy efficiency
kaatopaikka;landfill
ympäristötietous;environmental awareness
sähköauto;electric car
biodiesel polttoaine;biodiesel fuel
ekotietoinen;eco-conscious
ekologinen jalanjälki;ecological footprint
kerran käytettävissä;single-use
kiertotalous;circular economy
pakokaasut;exhaust fumes
vähentää jätettä;to reduce waste
kompostoitava;compostable
aurinkovoima;solar power
tuulivoima;wind power
vesivoima;hydro power
vuorovesivoima;tidal power
orgaanisten aineiden poltosta ja mädätyksestä tuotettua sähköä;biothermal energy
biomassaenergia;biomass energy
ympäristöystävällinen;eco-friendly, environmentally friendly
jätteenpoltto;waste incineration
tuulivoimala;wind farm
luonnossa hajoava;biodegradable
ydinvoima;nuclear power
jäteastia, roskakori;rubbish bin, garbage can, dumpster
jätteidenkeruupiste;collection point
pullonpalautuspiste;bottle bank
biojäte;organic waste
kompostiastia;biowaste container
jätevedenpuhdistamo;sewage treatment plant
maalämpöenergia;geothermal energy
turve;peat
valjastaa energia käyttöön;to harness energy
myrkkyjäte;toxic waste
likaantuminen, saastuminen;contamination
saastuttava aine;pollutant
ongelmajäte;hazardous waste
luonnonvarat;natural resources
hiilivoimala;coal-fired power plant
öljynporauslautta;oil rig
saastuttaa;to pollute
saastuminen, saasteet;pollution
päästä eroon roskista;to dispose of trash
hylätty, pois heitetty;discarded
komposti;compost
lajitella jätteet;to sort waste
