identiteetti;identity
perintö;heritage
juuret;roots
äidinkieli;mother tongue
maahanmuuttaja;immigrant
kotimaa;homeland
koti-ikävä;homesickness
kieli-identiteetti;linguistic identity
genetiikka;genetics
kotikunta;hometown
muukalaispelko;xenophobia
kasvaa aikuiseksi;to grow up
kasvattaa;to raise
olla syntynyt ja kasvanut jossakin;to be born and raised
kasvatus;upbringing
tausta;background
alku;origin
syntyperä;ancestry
sukujuuret;family lineage
historia;history
etnisyys;ethnicity
etninen, kansaa koskeva;ethnic
monikulttuurinen;multicultural
monikielinen;multilingual
monikansallinen;multinational
kulttuurien välinen;intercultural
kulttuurinen monimuotoisuus;cultural diversity
periä;to inherit
sukupolvi;generation
kansalliseepos;national epic
kansallislaulu;national anthem
perinteinen juhla;traditional festival
kansallisuus;nationality
kansalainen;citizen
uusi kotimaa;adopted motherland
maastamuuttaja;expatriate
isänmaanystävä;patriot
isänmaallinen;patriotic
asiallinen, poliittisesti korrekti;politically correct
pakolainen;refugee
siirtää eteenpäin;to pass on
perinne;tradition
perinteinen;traditional
tapa, käytäntö;custom
tavanmukainen, tapana;customary
mukautuminen;assimilation
polveutua jostakin;to be descended from
esivanhempi;ancestor
sukupuu;family tree
syntyperäinen;native
alkuperäis-;indigenous
kansalaisuus;citizenship
esivanhemmilta peritty;ancestral
muuttaa maasta;to emigrate
muuttaa maahan;to immigrate
