ennakkoluulo;prejudice
ennakkoluuloinen;prejudiced
alkuperäiskansa;indigenous people
monikulttuurinen;multicultural
rasisti, rasistinen;racist
rasismi;racism
rodullinen;racial
rinnakkaiselo;coexistence
rotuerottelu;racial segregation
suvaitsevainen;tolerant
suvaitsevaisuus;tolerance
suvaitsematon;intolerant
suvaitsemattomuus;intolerance
syrjintä;discrimination
syrjiä jotakuta;to discriminate against someone
tasa-arvo;equality
voimaannuttaa;to empower
vähemmistö;minority
enemmistö;majority
äänioikeus;the right to vote
sananvapaus;freedom of speech
kansanmurha;genocide
vainota;to persecute
vaino;persecution
ihmiskauppa;human trafficking
lapsityövoima;child labor
kaltoinkohtelu, hyväksikäyttö, pahoinpitely;abuse
silpoa;to mutilate
kunniamurha;honor killing
yleinen äänioikeus;suffrage
sorto;oppression
sananvapaus;freedom of expression
orjuus;slavery, servitude
käyttää hyväksi, kohdella huonosti;to abuse
kansalaisoikeudet;civil rights
ihmisoikeudet;human rights
kiistaton oikeus;inalienable right
ihmisoikeuksien yleismaailmallinen julistus;Universal Declaration of Human Rights (UDHR)
sukupuolisyrjintä;gender discrimination
periaate;principle
pakottaminen seksuaaliseen tekoon;sexual assault
naisiin kohdistuva väkivalta;violence against women
loukata jonkun oikeuksia;to violate someone's rights
loukkaus, häpäisy;violation
epäoikeudenmukainen oikeudenkäynti;unfair trial
lehdistön sensuuri;press censorship
kiihkoilija, fanaatikko;bigot
puolueellisuus;bias
luku- ja kirjoitustaito;literacy
naisten oikeudet;women's rights
lasten oikeudet;children's rights
seksuaalinen suuntautuminen;sexual orientation
kidutus;torture
arvokkuus, ihmisarvo;dignity
vapaat vaalit;free elections
liikkumisenvapaus;freedom of movement
mielipiteenvapaus;freedom of opinion
vapaus kokoontua rauhanomaisesti;freedom of peaceful assembly
uskonnonvapaus;freedom of religion
lehdistönvapaus;freedom of the press
pelottelu;intimidation
epäinhimillinen rangaistus;inhuman punishment
epäinhimillinen kohtelu;inhuman treatment
inhimillinen;humane
kieltää, estää;to prohibit
vapauttaminen;emancipation
puolueeton, tasapuolinen;unbiased
kieltäminen, kielto;prohibition
abortti;abortion
avustettu itsemurha;assisted suicide
samaa sukupuolta olevien vanhemmuus;same-sex parenthood
homoavioliitto;same-sex marriage
